DATAFLOW,AUDST,BASE_PER,COMD_ITEM,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2001,2000,2001-01-31,IX,295.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2001,2000,2001-01-31,IX,303.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2001,2000,2001-01-31,IX,323.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2001,2000,2001-01-31,IX,302.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2001,2000,2001-01-31,IX,313.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2001,2000,2001-01-31,IX,366.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2001,2000,2001-02-28,IX,292.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2001,2000,2001-02-28,IX,301.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2001,2000,2001-02-28,IX,324.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2001,2000,2001-02-28,IX,304.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2001,2000,2001-02-28,IX,314.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2001,2000,2001-02-28,IX,367.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2001,2000,2001-03-31,IX,293.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2001,2000,2001-03-31,IX,302.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2001,2000,2001-03-31,IX,326.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2001,2000,2001-03-31,IX,304.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2001,2000,2001-03-31,IX,314.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2001,2000,2001-03-31,IX,368.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2001-04-30,IX,294.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2001-04-30,IX,303.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2001-04-30,IX,328.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2001-04-30,IX,306.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2001-04-30,IX,315.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2001-04-30,IX,365.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2001-05-31,IX,297.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2001-05-31,IX,306.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2001-05-31,IX,330.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2001-05-31,IX,307.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2001-05-31,IX,315.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2001-05-31,IX,366.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2001-06-30,IX,301.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2001-06-30,IX,309.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2001-06-30,IX,331.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2001-06-30,IX,308.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2001-06-30,IX,316.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2001-06-30,IX,367.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2001-07-31,IX,305.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2001-07-31,IX,311.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2001-07-31,IX,331.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2001-07-31,IX,308.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2001-07-31,IX,316.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2001-07-31,IX,364.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2001-08-31,IX,308.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2001-08-31,IX,314.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_CBF,M,2002,2001,2001-08-31,IX,333.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_FL,M,2002,2001,2001-08-31,IX,308.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_MS,M,2002,2001,2001-08-31,IX,317.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG_PSTI,M,2002,2001,2001-08-31,IX,367.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_FDGP,M,2002,2001,2001-09-30,IX,307.0
RBI:CPI_RL_RN(1.0),N_A,BY_1986-87,CO_GIAG,M,2002,2001,2001-09-30,IX,313.0
